datetime,open,high,low,close,volume,openinterest
2018-09-26 16:30:00,290.92,291.31,290.86,291.13,27978,13347
2018-09-26 17:00:00,291.15,291.39,290.7,291.31,42546,21333
2018-09-26 18:00:00,291.32,291.55,291.32,291.41,29709,14145
2018-09-26 19:00:00,291.4,291.63,291.29,291.63,20784,10055
2018-09-26 20:00:00,291.63,291.66,291.37,291.41,26715,13515
2018-09-26 21:00:00,291.41,292.24,291.28,291.38,124646,54644
2018-09-26 22:00:00,291.39,291.59,289.41,289.85,262967,101368
2018-09-27 16:30:00,290.44,290.78,290.1,290.63,44753,18722
2018-09-27 17:00:00,290.63,291.51,290.62,291.41,63978,28854
2018-09-27 18:00:00,291.41,291.69,291.22,291.69,33362,17390
2018-09-27 19:00:00,291.68,291.91,291.59,291.75,34234,17358
2018-09-27 20:00:00,291.76,291.76,291.37,291.43,33848,16086
2018-09-27 21:00:00,291.43,291.45,290.89,290.93,55696,26914
2018-09-27 22:00:00,290.93,291.08,290.41,290.65,154679,55238
2018-09-28 16:30:00,289.99,290.42,289.95,290.38,55424,21140
2018-09-28 17:00:00,290.37,291.11,290.18,291.0,62350,29665
2018-09-28 18:00:00,291.01,291.28,290.85,290.87,44479,22534
2018-09-28 19:00:00,290.87,291.04,290.28,290.71,46125,21954
2018-09-28 20:00:00,290.7,291.11,290.57,290.86,40588,19719
2018-09-28 21:00:00,290.86,290.87,290.48,290.57,52319,23576
2018-09-28 22:00:00,290.58,290.8,290.32,290.61,192585,72341
2018-10-01 16:30:00,292.13,292.65,292.01,292.58,62808,22644
2018-10-01 17:00:00,292.57,292.93,292.49,292.68,68277,33911
2018-10-01 18:00:00,292.68,292.75,292.35,292.52,36087,18030
2018-10-01 19:00:00,292.52,292.54,291.86,291.98,43754,20370
2018-10-01 20:00:00,291.98,292.26,291.91,292.04,38429,17812
2018-10-01 21:00:00,292.04,292.05,291.67,291.99,49192,21201
2018-10-01 22:00:00,291.98,292.08,290.98,291.67,158289,61535
2018-10-02 16:30:00,291.56,291.84,291.38,291.7,39570,17874
2018-10-02 17:00:00,291.7,291.92,291.16,291.67,56615,28706
2018-10-02 18:00:00,291.67,292.26,291.62,292.21,40349,20424
2018-10-02 19:00:00,292.22,292.36,291.86,291.98,38283,19034
2018-10-02 20:00:00,291.97,292.31,291.96,292.16,21537,11316
2018-10-02 21:00:00,292.16,292.33,291.77,291.84,40547,20068
2018-10-02 22:00:00,291.84,291.84,291.14,291.57,123532,49131
2018-10-03 16:30:00,292.72,292.88,292.48,292.5,31511,13170
2018-10-03 17:00:00,292.5,293.21,292.49,292.64,75286,32754
2018-10-03 18:00:00,292.65,292.87,292.33,292.87,48411,22228
2018-10-03 19:00:00,292.86,292.96,292.59,292.8,31170,14745
2018-10-03 20:00:00,292.79,292.93,292.62,292.76,28004,14963
2018-10-03 21:00:00,292.76,292.94,291.59,291.91,99658,44327
2018-10-03 22:00:00,291.91,292.03,291.32,291.78,134512,53425
2018-10-04 16:30:00,291.18,291.24,290.63,290.74,62620,29151
2018-10-04 17:00:00,290.73,290.74,289.43,289.69,132265,61243
2018-10-04 18:00:00,289.69,290.18,289.17,289.21,96696,42862
2018-10-04 19:00:00,289.22,289.37,288.28,288.76,145562,61608
2018-10-04 20:00:00,288.76,288.85,287.93,288.15,121335,55074
2018-10-04 21:00:00,288.14,289.16,287.66,289.06,110827,55786
2018-10-04 22:00:00,289.06,289.67,288.62,289.47,182401,74107
2018-10-05 16:30:00,289.69,290.27,289.4,289.42,70558,29022
2018-10-05 17:00:00,289.43,289.86,288.85,289.04,87713,45720
2018-10-05 18:00:00,289.03,289.07,287.01,287.04,148722,72502
2018-10-05 19:00:00,287.05,287.58,286.61,286.95,103234,51355
